"Structure"	"New_Structure"
"RUNX1-RUNX1T1_[I.013]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jicvubrqcnponl"
"RUNX1-RUNX1T1_[I.014]"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcvbrqcnonl"
"RUNX1-RUNX1T1_[I.015]"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcvbrqcnp"
"RUNX1-RUNX1T1_[I.016]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcvbrqcnonl"
"RUNX1-RUNX1T1_[I.017]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"jidvbrqcnp"
"RUNX1-RUNX1T1_[I.018]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jibrqcnonl"
"RUNX1-RUNX1T1_[I.019]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcbrqcnonl"
"RUNX1-RUNX1T1_[I.020]"	"chr21:36421139-36421200 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"jvbrqcnp"
"RUNX1-RUNX1T1_[I.021]"	"chr21:36421139-36421200 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jdcvbrqcnonl"
"RUNX1-RUNX1T1_[I.022]"	"chr21:36421139-36421200 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.023]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jivbrqcnonl"
"RUNX1-RUNX1T1_[I.024]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jicvbrqcnonl"
"RUNX1-RUNX1T1_[I.025]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcvubrqcnonl"
"RUNX1-RUNX1T1_[I.026]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jivubrqcnonl"
"RUNX1-RUNX1T1_[I.027]"	"chr21:36421139-36421200 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jcvbrqcnonl"
"RUNX1-RUNX1T1_[I.028]"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.029]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcvbrqcnonl"
"RUNX1-RUNX1T1_[I.030]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"hfdcvbrqcnp"
"RUNX1-RUNX1T1_[I.031]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcbrqcnonl"
"RUNX1-RUNX1T1_[I.032]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcvurqcnonl"
"RUNX1-RUNX1T1_[I.033]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"hfdcvurqcnp"
"RUNX1-RUNX1T1_[I.034]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252711-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcvurqcnonl"
"RUNX1-RUNX1T1_[I.035]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252338-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcvurqcnonl"
"RUNX1-RUNX1T1_[I.036]"	"chr21:36259295-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.037]"	"chr21:36259297-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.038]"	"chr21:36259322-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcvbrqcnonl"
"RUNX1-RUNX1T1_[I.039]"	"chr21:36259204-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcvbrqcnonl"
"RUNX1-RUNX1T1_[I.040]"	"chr21:36259400-36259436 chr8:93027035-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hebrqcnonl"
"RUNX1-RUNX1T1_[I.041]"	"chr21:36259339-36259436 chr8:93026947-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gubrqcnonl"
"RUNX1-RUNX1T1_[I.042]"	"chr21:36259398-36259436 chr8:93029544-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hvubrqcnonl"
"RUNX1-RUNX1T1_[I.043]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jivubrqcnonl"
"RUNX1-RUNX1T1_[I.044]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"jivubrqcnp"
"RUNX1-RUNX1T1_[I.045]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36253000-36253010 chr8:93029572-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jievubrqcnonl"
"RUNX1-RUNX1T1_[I.046]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36227743-36227814 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcavubrqcnonl"
"RUNX1-RUNX1T1_[I.047]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36215920-36216197 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"hfdcavubrqcnp"
"RUNX1-RUNX1T1_[I.048]"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcavubrqcnp"
"RUNX1-RUNX1T1_[I.049]"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36225796-36225959 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcbvubrqcnp"
"RUNX1-RUNX1T1_[I.050]"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029659 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.051]"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavubrqcnonl"
"RUNX1-RUNX1T1_[I.052]"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36225796-36225959 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvbrqcnonl"
"RUNX1-RUNX1T1_[I.053]"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36222592-36222848 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcavbrqcnonl"
"RUNX1-RUNX1T1_[I.054]"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36216364-36216571 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcabrqcnp"
"RUNX1-RUNX1T1_[I.055]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93074774-93074855 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcyvubrqcnonl"
"RUNX1-RUNX1T1_[I.056]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36228111-36228260 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcbvubrqcnonl"
"RUNX1-RUNX1T1_[I.057]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36225796-36225959 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcbvubrqcnonl"
"RUNX1-RUNX1T1_[I.058]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcavubrqcnonl"
"RUNX1-RUNX1T1_[I.059]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93058129-93058271 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcbvubrqcnonl"
"RUNX1-RUNX1T1_[I.060]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029659 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.061]"	"chr21:36259251-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048393-93048727 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvubrqcnonl"
"RUNX1-RUNX1T1_[I.062]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36225796-36225959 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"hfdcbvubrqcnp"
"RUNX1-RUNX1T1_[I.063]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93042602-93043045 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"hfdcbvubrqcnp"
"RUNX1-RUNX1T1_[I.064]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029659 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcvbrqcnonl"
"RUNX1-RUNX1T1_[I.065]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36225796-36225959 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcbvbrqcnonl"
"RUNX1-RUNX1T1_[I.066]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36221420-36221496 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcbvurqcnonl"
"RUNX1-RUNX1T1_[I.067]"	"chr21:36259397-36259436 chr21:36259140-36259240 chr21:36252711-36253010 chr21:36231771-36231875 chr21:36224756-36224966 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"hfdcavurqcnonl"
"RUNX1-RUNX1T1_[I.068]"	"chr21:36259295-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029659 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.069]"	"chr21:36259295-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvbrqcnonl"
"RUNX1-RUNX1T1_[I.070]"	"chr21:36259275-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029659 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcvubrqcnonl"
"RUNX1-RUNX1T1_[I.071]"	"chr21:36259204-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36225796-36225959 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvubrqcnonl"
"RUNX1-RUNX1T1_[I.072]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93029454-93029659 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcvbrqcnonl"
"RUNX1-RUNX1T1_[I.073]"	"chr21:36421139-36421200 chr21:36265222-36265260 chr21:36252854-36253010 chr21:36231771-36231875 chr21:36217970-36218179 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"jidcavbrqcnonl"
